id,cocktail_name,description,instructions,abv,taste,image_url,user_id,created_at,updated_at
1,Verdant Negroni,"The Verdant Negroni layers Gin, Triple Sec, Espresso, and Strawberry Puree into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Gin, Triple Sec, Espresso, Strawberry Puree in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over fresh ice. Garnish with a citrus twist.",14.4,"herbal backbone, gentle coffee aroma, subtle vanilla sweetness.",,28,2024/7/3 07:18,2024/7/1 15:43
2,Sunset Spritz,"The Sunset Spritz layers Blue Curaçao, Honey Syrup, Club Soda, and Lime Juice into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine Blue Curaçao, Honey Syrup, Club Soda, Lime Juice in a shaker. Shake hard for 15 seconds. Fine strain into the chilled glass over no ice. Garnish with roasted rosemary sprig.",10,"zesty citrus sparkle, smoky undertone, lingering bitter finish.",,19,2023/11/24 05:28,2023/8/2 23:02
3,Scarlet Fizz,"The Scarlet Fizz layers Gin, Honey Syrup, Espresso, Lime Juice, Lemon Juice, and Strawberry Puree into a glass that tells a story from aroma to lingering finish.","Chill a highball. Combine Gin, Honey Syrup, Espresso, Lime Juice, Lemon Juice, Strawberry Puree in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over fresh ice. Garnish with roasted rosemary sprig.",16.8,"gentle coffee aroma, herbal backbone, zesty citrus sparkle.",,29,2025/2/3 09:57,2025/1/31 21:08
4,Arctic Fizz,"The Arctic Fizz layers Dark Rum, Amaretto, Chartreuse, Coconut Water, and Lemon Juice into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Dark Rum, Amaretto, Chartreuse, Coconut Water, Lemon Juice in a mixing glass. Shake hard for 15 seconds. Fine strain into the chilled glass over no ice. Garnish with dehydrated fruit wheel.",17.1,"subtle vanilla sweetness, silky mouthfeel, lingering bitter finish.",,4,2025/5/3 06:58,2023/12/21 00:22
5,Solar Highball,"The Solar Highball layers Amaretto, Cinnamon Syrup, Orgeat, Mango Puree, Mint Leaves, and Lavender Buds into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine Amaretto, Cinnamon Syrup, Orgeat, Mango Puree, Mint Leaves, Lavender Buds in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over fresh ice. Garnish with a citrus twist.",11.2,"herbal backbone, silky mouthfeel, zesty citrus sparkle.",,14,2024/10/22 15:46,2024/6/17 11:18
6,Midnight Old Fashioned,"The Midnight Old Fashioned layers Tequila Blanco, Simple Syrup, Club Soda, and Coconut Water into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Tequila Blanco, Simple Syrup, Club Soda, Coconut Water in a mixing glass. Shake hard for 15 seconds. Fine strain into the chilled glass over fresh ice. Garnish with mint bouquet.",16,"tropical fruit burst, zesty citrus sparkle, gentle coffee aroma.",,16,2024/11/2 04:38,2023/10/3 20:11
7,Orchid Highball,"The Orchid Highball layers Bourbon, Rye Whiskey, Cinnamon Syrup, Mango Puree, and Lavender Buds into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine Bourbon, Rye Whiskey, Cinnamon Syrup, Mango Puree, Lavender Buds in a shaker. Stir over cracked ice for half a minute. Fine strain into the chilled glass over fresh ice. Garnish with dehydrated fruit wheel.",18.2,"silky mouthfeel, zesty citrus sparkle, tropical fruit burst.",,25,2024/10/17 21:45,2024/5/1 12:30
8,Velvet Breeze,"The Velvet Breeze layers Gin, White Rum, Grenadine, Club Soda, and Passion Fruit Puree into a glass that tells a story from aroma to lingering finish.","Chill a highball. Combine Gin, White Rum, Grenadine, Club Soda, Passion Fruit Puree in a mixing glass. Shake hard for 15 seconds. Fine strain into the chilled glass over fresh ice. Garnish with a citrus twist.",16.4,"lingering bitter finish, subtle vanilla sweetness, smoky undertone.",,17,2023/6/18 00:42,2024/12/30 08:45
9,Scarlet Breeze,"The Scarlet Breeze layers Rye Whiskey, Mezcal, Triple Sec, Strawberry Puree, and Mint Leaves into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Rye Whiskey, Mezcal, Triple Sec, Strawberry Puree, Mint Leaves in a shaker. Stir over cracked ice for half a minute. Fine strain into the chilled glass over no ice. Garnish with mint bouquet.",16,"lingering bitter finish, subtle vanilla sweetness, smoky undertone.",,13,2025/5/25 08:28,2023/7/4 13:11
10,Scarlet Daiquiri,"The Scarlet Daiquiri layers White Rum, Bourbon, Kahlúa, and Ginger Beer into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine White Rum, Bourbon, Kahlúa, Ginger Beer in a shaker. Shake hard for 15 seconds. Fine strain into the chilled glass over fresh ice. Garnish with dehydrated fruit wheel.",14,"smoky undertone, tropical fruit burst, zesty citrus sparkle.",,2,2023/9/23 16:30,2023/8/25 16:58
11,Smoky Negroni,"The Smoky Negroni layers Vodka, Bourbon, Campari, Orgeat, and Club Soda into a glass that tells a story from aroma to lingering finish.","Chill a highball. Combine Vodka, Bourbon, Campari, Orgeat, Club Soda in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over a clear ice cube. Garnish with a citrus twist.",14.5,"zesty citrus sparkle, gentle coffee aroma, silky mouthfeel.",,4,2025/5/16 03:46,2023/12/8 18:58
12,Cerulean Breeze,"The Cerulean Breeze layers Vodka, Orgeat, Club Soda, Espresso, Lemon Juice, and Rosemary Sprig into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Vodka, Orgeat, Club Soda, Espresso, Lemon Juice, Rosemary Sprig in a shaker. Stir over cracked ice for half a minute. Fine strain into the chilled glass over a clear ice cube. Garnish with dehydrated fruit wheel.",16,"herbal backbone, subtle vanilla sweetness, cool mint accent.",,28,2023/8/18 02:53,2024/12/18 12:49
13,Lunar Spritz,"The Lunar Spritz layers Gin, Kahlúa, Honey Syrup, and Coconut Water into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine Gin, Kahlúa, Honey Syrup, Coconut Water in a mixing glass. Shake hard for 15 seconds. Fine strain into the chilled glass over a clear ice cube. Garnish with roasted rosemary sprig.",12.4,"warming oak, silky mouthfeel, lingering bitter finish.",,4,2025/4/21 06:58,2025/5/8 00:08
14,Lunar Sour,"The Lunar Sour layers Mezcal, Orgeat, Club Soda, Ginger Beer, Lime Juice, and Mint Leaves into a glass that tells a story from aroma to lingering finish.","Chill a highball. Combine Mezcal, Orgeat, Club Soda, Ginger Beer, Lime Juice, Mint Leaves in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over a clear ice cube. Garnish with a citrus twist.",17.6,"silky mouthfeel, warming oak, gentle coffee aroma.",,30,2025/1/13 21:06,2024/5/5 08:26
15,Twilight Daiquiri,"The Twilight Daiquiri layers Kahlúa, Chartreuse, Cinnamon Syrup, Coconut Water, Lemon Juice, and Mango Puree into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Kahlúa, Chartreuse, Cinnamon Syrup, Coconut Water, Lemon Juice, Mango Puree in a shaker. Shake hard for 15 seconds. Fine strain into the chilled glass over a clear ice cube. Garnish with dehydrated fruit wheel.",15,"lingering bitter finish, zesty citrus sparkle, smoky undertone.",,29,2024/1/24 21:40,2024/1/25 17:41
16,Crimson Daiquiri,"The Crimson Daiquiri layers Dark Rum, Tequila Blanco, Rye Whiskey, Simple Syrup, Orgeat, and Rosemary Sprig into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Dark Rum, Tequila Blanco, Rye Whiskey, Simple Syrup, Orgeat, Rosemary Sprig in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over a clear ice cube. Garnish with roasted rosemary sprig.",17.5,"silky mouthfeel, cool mint accent, zesty citrus sparkle.",,18,2025/5/16 23:09,2024/1/25 18:40
17,Neon Sour,"The Neon Sour layers Triple Sec, Campari, Blue Curaçao, and Tonic Water into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Triple Sec, Campari, Blue Curaçao, Tonic Water in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over fresh ice. Garnish with dehydrated fruit wheel.",10.5,"herbal backbone, gentle coffee aroma, silky mouthfeel.",,28,2025/5/16 08:38,2023/5/30 16:55
18,Smoky Spritz,"The Smoky Spritz layers Gin, Orgeat, Ginger Beer, Pineapple Juice, and Strawberry Puree into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine Gin, Orgeat, Ginger Beer, Pineapple Juice, Strawberry Puree in a shaker. Shake hard for 15 seconds. Fine strain into the chilled glass over fresh ice. Garnish with a citrus twist.",16.8,"warming oak, silky mouthfeel, cool mint accent.",,26,2024/3/13 03:39,2025/1/3 18:56
19,Scarlet Spritz,"The Scarlet Spritz layers Club Soda, Ginger Beer, Basil Leaves, and Lavender Buds into a glass that tells a story from aroma to lingering finish.","Chill a highball. Combine Club Soda, Ginger Beer, Basil Leaves, Lavender Buds in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over fresh ice. Garnish with dehydrated fruit wheel.",0,"herbal backbone, smoky undertone, silky mouthfeel.",,24,2024/12/2 11:28,2025/3/11 19:10
